feature_code,weight_ratio,year,la_name
S12000048,1.69,2017,Perth and Kinross
S12000047,2.06,2017,Fife
S12000027,0.9,2017,Shetland Islands
S12000028,1.36,2017,South Ayrshire
S12000019,1.81,2017,Midlothian
S12000026,1.39,2017,Scottish Borders
S12000023,2.81,2017,Orkney Islands
S12000042,2.65,2017,Dundee City
S12000045,1.7,2017,East Dunbartonshire
S12000050,2.16,2014,North Lanarkshire
S12000050,2.1,2015,North Lanarkshire
S12000050,2.12,2010,North Lanarkshire
S12000050,2.38,2007,North Lanarkshire
S12000050,2.34,2009,North Lanarkshire
S12000050,2.76,2004,North Lanarkshire
S12000050,2.49,2006,North Lanarkshire
S12000050,2.89,2003,North Lanarkshire
S12000050,2.01,2013,North Lanarkshire
S12000050,1.92,2011,North Lanarkshire
S12000050,2.42,2008,North Lanarkshire
S12000050,2.81,2002,North Lanarkshire
S12000050,2.68,2005,North Lanarkshire
S12000050,1.91,2012,North Lanarkshire
S12000049,3.61,2005,Glasgow City
S12000049,3.02,2010,Glasgow City
S12000049,3.44,2007,Glasgow City
S12000049,3.59,2004,Glasgow City
S12000049,3.4,2008,Glasgow City
S12000049,3.04,2009,Glasgow City
S12000049,2.6,2011,Glasgow City
S12000050,1.92,2017,North Lanarkshire
S12000050,2.18,2016,North Lanarkshire
S12000049,2.47,2017,Glasgow City
S12000049,2.68,2015,Glasgow City
S12000049,3.71,2006,Glasgow City
S12000049,2.67,2014,Glasgow City
S12000049,3.54,2003,Glasgow City
S12000049,3.49,2002,Glasgow City
S12000049,2.53,2012,Glasgow City
S12000049,2.51,2013,Glasgow City
S12000049,2.58,2016,Glasgow City
